Provinsi,No,Nama Kabupaten/Kota,Ibukota,Latitude,Longitude
Provinsi Kalimantan Barat,3,Kabupaten Kayong Utara,Sukadana,-1.2500,109.9500
Provinsi Kalimantan Barat,4,Kabupaten Ketapang,Ketapang,-1.8500,109.9667
Provinsi Kalimantan Barat,5,Kabupaten Kubu Raya,Sungai Raya,-0.0500,109.3333
Provinsi Kalimantan Barat,6,Kabupaten Landak,Ngabang,0.3500,109.4500
Provinsi Kalimantan Barat,7,Kabupaten Melawi,Nanga Pinoh,-0.8000,111.7500
Provinsi Kalimantan Barat,8,Kabupaten Mempawah,Mempawah,0.4500,109.0000
Provinsi Kalimantan Barat,9,Kabupaten Sambas,Sambas,1.3500,109.3000
Provinsi Kalimantan Barat,10,Kabupaten Sanggau,Sanggau,0.1167,110.5833
Provinsi Kalimantan Barat,11,Kabupaten Sekadau,Sekadau,-0.0167,110.9500
Provinsi Kalimantan Barat,12,Kabupaten Sintang,Sintang,0.0833,111.4833
Provinsi Kalimantan Barat,13,Kota Pontianak,,-0.0167,109.3333
Provinsi Kalimantan Barat,14,Kota Singkawang,,0.9000,109.0000
Provinsi Kalimantan Tengah,1,Kabupaten Barito Selatan,Buntok,-1.6833,114.9000
Provinsi Kalimantan Tengah,2,Kabupaten Barito Timur,Tamiang Layang,-1.9167,115.1167
Provinsi Kalimantan Tengah,3,Kabupaten Barito Utara,Muara Teweh,-0.9500,114.9000
Provinsi Kalimantan Tengah,4,Kabupaten Gunung Mas,Kuala Kurun,-0.9833,113.8833
Provinsi Kalimantan Tengah,5,Kabupaten Kapuas,Kuala Kapuas,-3.0000,114.3833
Provinsi Kalimantan Tengah,6,Kabupaten Katingan,Kasongan,-2.0667,113.4000
Provinsi Kalimantan Tengah,7,Kabupaten Kotawaringin Barat,Pangkalan Bun,-2.6833,111.6167
Provinsi Kalimantan Tengah,8,Kabupaten Kotawaringin Timur,Sampit,-2.5333,112.9500
Provinsi Kalimantan Tengah,9,Kabupaten Lamandau,Nanga Bulik,-2.1833,111.4500
Provinsi Kalimantan Tengah,10,Kabupaten Murung Raya,Puruk Cahu,-0.5833,114.5667
Provinsi Kalimantan Tengah,11,Kabupaten Pulang Pisau,Pulang Pisau,-2.7667,114.2500
Provinsi Kalimantan Tengah,12,Kabupaten Seruyan,Kuala Pembuang,-3.3667,112.5167
Provinsi Kalimantan Tengah,13,Kabupaten Sukamara,Sukamara,-2.9833,111.2333
Provinsi Kalimantan Tengah,14,Kota Palangka Raya,,-2.2167,113.9167
Provinsi Kalimantan Selatan,1,Kabupaten Balangan,Paringin,-2.3333,115.4667
Provinsi Kalimantan Selatan,2,Kabupaten Banjar,Martapura,-3.4167,114.8333
Provinsi Kalimantan Selatan,3,Kabupaten Barito Kuala,Marabahan,-3.0000,114.7667
Provinsi Kalimantan Selatan,4,Kabupaten Hulu Sungai Selatan,Kandangan,-2.7667,115.1667
Provinsi Kalimantan Selatan,5,Kabupaten Hulu Sungai Tengah,Barabai,-2.5833,115.3833
Provinsi Kalimantan Selatan,6,Kabupaten Hulu Sungai Utara,Amuntai,-2.4167,115.2500
Provinsi Kalimantan Selatan,7,Kabupaten Kotabaru,Kotabaru,-3.2333,116.2167
Provinsi Kalimantan Selatan,8,Kabupaten Tabalong,Tanjung,-2.1667,115.4000
Provinsi Kalimantan Selatan,9,Kabupaten Tanah Bumbu,Batulicin,-3.4333,115.9667
Provinsi Kalimantan Selatan,10,Kabupaten Tanah Laut,Pelaihari,-3.8000,114.7667
Provinsi Kalimantan Selatan,11,Kabupaten Tapin,Rantau,-2.9333,115.1000
Provinsi Kalimantan Selatan,12,Kota Banjarbaru,,-3.4333,114.8167
Provinsi Kalimantan Selatan,13,Kota Banjarmasin,,-3.3167,114.5833
Provinsi Kalimantan Timur,1,Kabupaten Berau,Tanjung Redeb,2.1500,117.5000
Provinsi Kalimantan Timur,2,Kabupaten Kutai Barat,Sendawar,-0.2500,115.6500
Provinsi Kalimantan Timur,3,Kabupaten Kutai Kartanegara,Tenggarong,-0.4333,116.9833
Provinsi Kalimantan Timur,4,Kabupaten Kutai Timur,Sangatta,0.5167,117.5667
Provinsi Kalimantan Timur,5,Kabupaten Mahakam Ulu,Ujoh Bilang,0.4667,114.9333
Provinsi Kalimantan Timur,6,Kabupaten Paser,Tana Paser,-1.6167,116.2167
Provinsi Kalimantan Timur,7,Kabupaten Penajam Paser Utara,Penajam,-1.2500,116.7167
Provinsi Kalimantan Timur,8,Kota Balikpapan,,-1.2667,116.8333
Provinsi Kalimantan Timur,9,Kota Bontang,,0.1333,117.5000
Provinsi Kalimantan Timur,10,Kota Samarinda,,-0.5000,117.1500
Provinsi Kalimantan Utara,1,Kabupaten Bulungan,Tanjung Selor,2.8333,117.3667
Provinsi Kalimantan Utara,2,Kabupaten Malinau,Malinau,3.5833,116.6333
Provinsi Kalimantan Utara,3,Kabupaten Nunukan,Nunukan,4.0500,117.6667
Provinsi Kalimantan Utara,4,Kabupaten Tana Tidung,Tideng Pale,3.4833,117.1667
Provinsi Kalimantan Utara,5,Kota Tarakan,,3.3000,117.6333
Provinsi Sulawesi Utara,1,Kabupaten Bolaang Mongondow,Lolak,0.9167,124.0333
Provinsi Sulawesi Utara,2,Kabupaten Bolaang Mongondow Selatan,Molibagu,0.3667,123.9000
Provinsi Sulawesi Utara,3,Kabupaten Bolaang Mongondow Timur,Tutuyan,0.7667,124.6333
Provinsi Sulawesi Utara,4,Kabupaten Bolaang Mongondow Utara,Boroko,1.0000,123.4000
Provinsi Sulawesi Utara,5,Kabupaten Kepulauan Sangihe,Tahuna,3.6000,125.5000
Provinsi Sulawesi Utara,6,Kabupaten Kepulauan Siau Tagulandang Biaro,Ondong Siau,2.7000,125.4000
Provinsi Sulawesi Utara,7,Kabupaten Kepulauan Talaud,Melonguane,4.0167,126.7000
Provinsi Sulawesi Utara,8,Kabupaten Minahasa,Tondano,1.3000,124.9167
Provinsi Sulawesi Utara,9,Kabupaten Minahasa Selatan,Amurang,1.1833,124.5667
Provinsi Sulawesi Utara,10,Kabupaten Minahasa Tenggara,Ratahan,1.0500,124.8167
Provinsi Sulawesi Utara,11,Kabupaten Minahasa Utara,Airmadidi,1.3833,124.9833
Provinsi Sulawesi Utara,12,Kota Bitung,,1.4333,125.1833
Provinsi Sulawesi Utara,13,Kota Kotamobagu,,0.7333,124.3167
Provinsi Sulawesi Utara,14,Kota Manado,,1.4833,124.8500
Provinsi Sulawesi Utara,15,Kota Tomohon,,1.3167,124.8333
Provinsi Sulawesi Tengah,1,Kabupaten Banggai,Luwuk,-0.9500,122.9000
Provinsi Sulawesi Tengah,2,Kabupaten Banggai Kepulauan,Salakan,-1.2167,123.3667
Provinsi Sulawesi Tengah,3,Kabupaten Banggai Laut,Banggai,-1.5833,123.5333
Provinsi Sulawesi Tengah,4,Kabupaten Buol,Buol,1.1167,121.4167
Provinsi Sulawesi Tengah,5,Kabupaten Donggala,Donggala,-0.6667,119.7333
Provinsi Sulawesi Tengah,6,Kabupaten Morowali,Bungku,-2.5500,121.9333
Provinsi Sulawesi Tengah,7,Kabupaten Morowali Utara,Kolonodale,-2.0000,121.3167
Provinsi Sulawesi Tengah,8,Kabupaten Parigi Moutong,Parigi,-0.9000,120.2000
Provinsi Sulawesi Tengah,9,Kabupaten Poso,Poso,-1.4000,120.7500
Provinsi Sulawesi Tengah,10,Kabupaten Sigi,Sigi Biromaru,-0.9500,119.9833
Provinsi Sulawesi Tengah,11,Kabupaten Tojo Una-Una,Ampana,-0.8500,121.6000
Provinsi Sulawesi Tengah,12,Kabupaten Tolitoli,Tolitoli,1.0333,120.8167
Provinsi Sulawesi Tengah,13,Kota Palu,,-0.9000,119.8500
Provinsi Sulawesi Selatan,1,Kabupaten Bantaeng,Bantaeng,-5.5500,120.0000
Provinsi Sulawesi Selatan,2,Kabupaten Barru,Barru,-4.4333,119.6167
Provinsi Sulawesi Selatan,3,Kabupaten Bone,Watampone,-4.5333,120.3167
Provinsi Sulawesi Selatan,4,Kabupaten Bulukumba,Bulukumba,-5.3333,120.2000
Provinsi Sulawesi Selatan,5,Kabupaten Enrekang,Enrekang,-3.5667,119.7833
Provinsi Sulawesi Selatan,6,Kabupaten Gowa,Sungguminasa,-5.1667,119.4667
Provinsi Sulawesi Selatan,7,Kabupaten Jeneponto,Jeneponto,-5.6667,119.7167
Provinsi Sulawesi Selatan,8,Kabupaten Kepulauan Selayar,Benteng,-6.1000,120.4500
Provinsi Sulawesi Selatan,9,Kabupaten Luwu,Belopa,-3.3833,120.1833
Provinsi Sulawesi Selatan,10,Kabupaten Luwu Timur,Malili,-2.6500,121.1000
Provinsi Sulawesi Selatan,11,Kabupaten Luwu Utara,Masamba,-2.5667,120.3000
Provinsi Sulawesi Selatan,12,Kabupaten Maros,Maros,-5.0000,119.5667
Provinsi Sulawesi Selatan,13,Kabupaten Pangkajene dan Kepulauan,Pangkajene,-4.8333,119.5333
Provinsi Sulawesi Selatan,14,Kabupaten Pinrang,Pinrang,-3.9000,119.6500
Provinsi Sulawesi Selatan,15,Kabupaten Sidenreng Rappang,Sidenreng,-3.9167,119.8167
Provinsi Sulawesi Selatan,16,Kabupaten Sinjai,Sinjai,-5.1167,120.2500
Provinsi Sulawesi Selatan,17,Kabupaten Soppeng,Watansoppeng,-4.3500,119.9000
Provinsi Sulawesi Selatan,18,Kabupaten Takalar,Pattallassang,-5.3000,119.4167
Provinsi Sulawesi Selatan,19,Kabupaten Tana Toraja,Makale,-3.1000,119.8500
Provinsi Sulawesi Selatan,20,Kabupaten Toraja Utara,Rantepao,-2.9667,119.9000
Provinsi Sulawesi Selatan,21,Kabupaten Wajo,Sengkang,-4.1167,120.0333
Provinsi Sulawesi Selatan,22,Kota Makassar,,-5.1333,119.4167
Provinsi Sulawesi Selatan,23,Kota Palopo,,-3.0000,120.2000
Provinsi Sulawesi Selatan,24,Kota Parepare,,-4.0167,119.6167
Provinsi Sulawesi Tenggara,1,Kabupaten Bombana,Rumbia,-4.6833,121.8333
Provinsi Sulawesi Tenggara,2,Kabupaten Buton,Pasar Wajo,-5.4833,122.8000
Provinsi Sulawesi Tenggara,3,Kabupaten Buton Selatan,Batauga,-5.5667,122.6167
Provinsi Sulawesi Tenggara,4,Kabupaten Buton Tengah,Labungkari,-5.2833,122.7167
Provinsi Sulawesi Tenggara,5,Kabupaten Buton Utara,Buranga,-4.8500,123.0833
Provinsi Sulawesi Tenggara,6,Kabupaten Kolaka,Kolaka,-4.0167,121.6000
Provinsi Sulawesi Tenggara,7,Kabupaten Kolaka Timur,Tirawuta,-4.0833,121.9333
Provinsi Sulawesi Tenggara,8,Kabupaten Kolaka Utara,Lasusua,-3.5333,121.2333
Provinsi Sulawesi Tenggara,9,Kabupaten Konawe,Unaaha,-3.9333,122.0667
Provinsi Sulawesi Tenggara,10,Kabupaten Konawe Kepulauan,Langara,-3.9333,122.6167
Provinsi Sulawesi Tenggara,11,Kabupaten Konawe Selatan,Andoolo,-4.2167,122.3167
Provinsi Sulawesi Tenggara,12,Kabupaten Konawe Utara,Wanggudu,-3.6667,122.0333
Provinsi Sulawesi Tenggara,13,Kabupaten Muna,Raha,-4.8333,122.7167
Provinsi Sulawesi Tenggara,14,Kabupaten Muna Barat,Laworo,-4.8833,122.4833
Provinsi Sulawesi Tenggara,15,Kabupaten Wakatobi,Wanci,-5.3167,123.5833
Provinsi Sulawesi Tenggara,16,Kota Baubau,,-5.4667,122.6000
Provinsi Sulawesi Tenggara,17,Kota Kendari,,-3.9833,122.5167
Provinsi Gorontalo,1,Kabupaten Boalemo,Tilamuta,0.5000,122.3333
Provinsi Gorontalo,2,Kabupaten Bone Bolango,Suwawa,0.5333,123.1500
Provinsi Gorontalo,3,Kabupaten Gorontalo,Limboto,0.6000,123.0000
Provinsi Gorontalo,4,Kabupaten Gorontalo Utara,Kwandang,0.9000,122.9000
Provinsi Gorontalo,5,Kabupaten Pohuwato,Marisa,0.8167,121.9000
Provinsi Gorontalo,6,Kota Gorontalo,,-0.5333,123.0667
Provinsi Sulawesi Barat,1,Kabupaten Majene,Majene,-3.5333,118.9667
Provinsi Sulawesi Barat,2,Kabupaten Mamasa,Mamasa,-2.9333,119.3833
Provinsi Sulawesi Barat,3,Kabupaten Mamuju,Mamuju,-2.6667,118.8833
Provinsi Sulawesi Barat,4,Kabupaten Mamuju Tengah,Tobadak,-2.3167,119.3667
Provinsi Sulawesi Barat,5,Kabupaten Pasangkayu,Pasangkayu,-1.3167,119.3667
Provinsi Sulawesi Barat,6,Kabupaten Polewali Mandar,Polewali,-3.4333,119.3333
Provinsi Maluku,1,Kabupaten Buru,Namlea,-3.1000,127.1000
Provinsi Maluku,2,Kabupaten Buru Selatan,Namrole,-3.8333,126.5000
Provinsi Maluku,3,Kabupaten Kepulauan Aru,Dobo,-5.7500,134.2167
Provinsi Maluku,4,Kabupaten Kepulauan Tanimbar,Saumlaki,-7.9833,131.3000
Provinsi Maluku,5,Kabupaten Maluku Barat Daya,Tiakur,-7.7000,128.1833
Provinsi Maluku,6,Kabupaten Maluku Tengah,Masohi,-3.3333,128.9167
Provinsi Maluku,7,Kabupaten Maluku Tenggara,Langgur,-5.6667,132.7333
Provinsi Maluku,8,Kabupaten Seram Bagian Barat,Piru,-3.2500,128.1833
Provinsi Maluku,9,Kabupaten Seram Bagian Timur,Bula,-3.1000,130.4667
Provinsi Maluku,10,Kota Ambon,,-3.7000,128.1833
Provinsi Maluku,11,Kota Tual,,-5.6333,132.7500
Provinsi Maluku Utara,1,Kabupaten Halmahera Barat,Jailolo,1.0833,127.4167
Provinsi Maluku Utara,2,Kabupaten Halmahera Tengah,Weda,0.3667,127.9833
Provinsi Maluku Utara,3,Kabupaten Halmahera Timur,Maba,0.7000,128.3667
Provinsi Maluku Utara,4,Kabupaten Halmahera Selatan,Labuha,-0.6333,127.4833
Provinsi Maluku Utara,5,Kabupaten Halmahera Utara,Tobelo,1.7333,128.0167
Provinsi Maluku Utara,6,Kabupaten Kepulauan Sula,Sanana,-2.1167,125.9500
Provinsi Maluku Utara,7,Kabupaten Pulau Morotai,Daruba,2.0333,128.3333
Provinsi Maluku Utara,8,Kabupaten Pulau Taliabu,Bobong,-1.9333,124.8167
Provinsi Maluku Utara,9,Kota Ternate,,0.8000,127.3833
Provinsi Maluku Utara,10,Kota Tidore Kepulauan,,0.6500,127.4333
Provinsi Papua Barat,1,Kabupaten Fakfak,Fakfak,-2.9167,132.3000
Provinsi Papua Barat,2,Kabupaten Kaimana,Kaimana,-3.6667,133.7833
Provinsi Papua Barat,3,Kabupaten Manokwari,Manokwari,-0.8667,134.0500
Provinsi Papua Barat,4,Kabupaten Manokwari Selatan,Ransiki,-1.4833,134.1667
Provinsi Papua Barat,5,Kabupaten Pegunungan Arfak,Anggi,-1.3500,133.9167
Provinsi Papua Barat,6,Kabupaten Teluk Bintuni,Bintuni,-2.1833,133.3167
Provinsi Papua Barat,7,Kabupaten Teluk Wondama,Rasiei,-2.6000,134.2500
Provinsi Papua,1,Kabupaten Biak Numfor,Biak,-1.1833,136.0833
Provinsi Papua,2,Kabupaten Jayapura,Sentani,-2.5667,140.5000
Provinsi Papua,3,Kabupaten Keerom,Arso,-2.9167,140.7500
Provinsi Papua,4,Kabupaten Kepulauan Yapen,Serui,-1.8833,136.2333
Provinsi Papua,5,Kabupaten Mamberamo Raya,Burmeso,-2.0000,137.9500
Provinsi Papua,6,Kabupaten Sarmi,Sarmi,-1.8833,138.7500
Provinsi Papua,7,Kabupaten Supiori,Sorendiweri,-0.7333,135.5333
Provinsi Papua,8,Kabupaten Waropen,Botawa,-2.6333,136.9000
Provinsi Papua,9,Kota Jayapura,,-2.5333,140.7167
Provinsi Papua Barat Daya,1,Kabupaten Maybrat,Kumurkek,-1.3333,132.5500
Provinsi Papua Barat Daya,2,Kabupaten Raja Ampat,Waisai,-0.4167,130.8167
Provinsi Papua Barat Daya,3,Kabupaten Sorong,Aimas,-0.9667,131.4000
Provinsi Papua Barat Daya,4,Kabupaten Sorong Selatan,Teminabuan,-1.4167,132.3000
Propinsi Papua Barat Daya,5,Kabupaten Tambrauw,Fef,-0.9667,132.4833
Provinsi Papua Barat Daya,6,Kota Sorong,,-0.8833,131.2500
Provinsi Papua Selatan,1,Kabupaten Asmat,Agats,-5.5333,138.3833
Provinsi Papua Selatan,2,Kabupaten Boven Digoel,Tanah Merah,-6.1000,140.3000
Provinsi Papua Selatan,3,Kabupaten Mappi,Kepi,-6.5333,139.3167
Provinsi Papua Selatan,4,Kabupaten Merauke,Merauke,-8.4833,140.3667
Provinsi Papua Tengah,1,Kabupaten Deiyai,Tigi,-4.0167,136.2167
Provinsi Papua Tengah,2,Kabupaten Dogiyai,Kigamani,-3.8833,136.0000
Provinsi Papua Tengah,3,Kabupaten Intan Jaya,Sugapa,-3.6167,137.0500
Provinsi Papua Tengah,4,Kabupaten Mimika,Timika,-4.5167,136.8833
Provinsi Papua Tengah,5,Kabupaten Nabire,Nabire,-3.3667,135.5000
Provinsi Papua Tengah,6,Kabupaten Paniai,Enarotali,-3.9167,136.3500
Provinsi Papua Tengah,7,Kabupaten Puncak,Ilaga,-3.9333,137.5000
Provinsi Papua Tengah,8,Kabupaten Puncak Jaya,Mulia,-3.5333,137.5833
Provinsi Papua Pegunungan,1,Kabupaten Jayawijaya,Wamena,-4.1000,138.9500
Provinsi Papua Pegunungan,2,Kabupaten Lanny Jaya,Tiom,-3.8500,138.4000
Provinsi Papua Pegunungan,3,Kabupaten Mamberamo Tengah,Kobakma,-3.6000,138.7500
Provinsi Papua Pegunungan,4,Kabupaten Nduga,Kenyam,-4.6833,138.3167
Provinsi Papua Pegunungan,5,Kabupaten Pegunungan Bintang,Oksibil,-4.9167,140.6333
Provinsi Papua Pegunungan,6,Kabupaten Tolikara,Karubaga,-3.6667,138.1667
Provinsi Papua Pegunungan,7,Kabupaten Yahukimo,Sumohai,-4.6667,139.7500
Provinsi Papua Pegunungan,8,Kabupaten Yalimo,Elelim,-3.6333,139.3833
